File name	Line	Function	Duration[ms]	Explored nodes
C:\Corsi_informatica\Sicurezza_Informatica\Secure Coding\VulnerableWebApp\WebAppDemo\RFI.aspx.cs	56	_WebAppDemo.RFI.Button1_Click$object.System.EventArgs$	0	3
C:\Corsi_informatica\Sicurezza_Informatica\Secure Coding\VulnerableWebApp\WebAppDemo\Private\riservata.aspx.cs	46	_WebAppDemo.privata.riservata.Page_Load$object.System.EventArgs$	0	2
C:\Corsi_informatica\Sicurezza_Informatica\Secure Coding\VulnerableWebApp\WebAppDemo\Private\riservata.aspx.cs	52	_WebAppDemo.privata.riservata.Button1_Click$object.System.EventArgs$	0	3
C:\Corsi_informatica\Sicurezza_Informatica\Secure Coding\VulnerableWebApp\WebAppDemo\Welcomepage.aspx.cs	11	_WebAppDemo.Welcomepage.Page_Load$object.System.EventArgs$	0	3
C:\Corsi_informatica\Sicurezza_Informatica\Secure Coding\VulnerableWebApp\WebAppDemo\XPathInjection.aspx.cs	12	_WebAppDemo.XPathInjection.Page_Load$object.System.EventArgs$	0	2
C:\Corsi_informatica\Sicurezza_Informatica\Secure Coding\VulnerableWebApp\WebAppDemo\XPathInjection.aspx.cs	17	_WebAppDemo.XPathInjection.Button1_Click$object.System.EventArgs$	0	6
C:\Corsi_informatica\Sicurezza_Informatica\Secure Coding\VulnerableWebApp\WebAppDemo\Private\XSRF.aspx.cs	47	_WebAppDemo.Private.XSRF.Page_Load$object.System.EventArgs$	0	5
C:\Corsi_informatica\Sicurezza_Informatica\Secure Coding\VulnerableWebApp\WebAppDemo\Private\XSRF.aspx.cs	74	_WebAppDemo.Private.XSRF.Button1_Click$object.System.EventArgs$	0	5
C:\Corsi_informatica\Sicurezza_Informatica\Secure Coding\VulnerableWebApp\WebAppDemo\xss.aspx.cs	45	_WebAppDemo.xss.Page_Load$object.System.EventArgs$	0	2
C:\Corsi_informatica\Sicurezza_Informatica\Secure Coding\VulnerableWebApp\WebAppDemo\XXE.aspx.cs	45	_WebAppDemo.XXE.Page_Load$object.System.EventArgs$	0	2
C:\Corsi_informatica\Sicurezza_Informatica\Secure Coding\VulnerableWebApp\WebAppDemo\XXE.aspx.cs	52	_WebAppDemo.XXE.Button1_Click$object.System.EventArgs$	0	2
C:\Corsi_informatica\Sicurezza_Informatica\Secure Coding\VulnerableWebApp\WebAppDemo\XXE.aspx.cs	58	_WebAppDemo.XXE.Button2_Click$object.System.EventArgs$	0	3
C:\Corsi_informatica\Sicurezza_Informatica\Secure Coding\VulnerableWebApp\WebAppDemo\XXE_elab.aspx.cs	50	_WebAppDemo.XXE_elab.Page_Load$object.System.EventArgs$	0	7
C:\Corsi_informatica\Sicurezza_Informatica\Secure Coding\VulnerableWebApp\WebAppDemo\XXE_elab.aspx.cs	76	_WebAppDemo.XXE_elab.Button1_Click$object.System.EventArgs$	0	3
C:\Corsi_informatica\Sicurezza_Informatica\Secure Coding\VulnerableWebApp\WebAppDemo\XXE_elab.aspx.cs	89	_WebAppDemo.XXE_elab.Button2_Click$object.System.EventArgs$	2	460
C:\Corsi_informatica\Sicurezza_Informatica\Secure Coding\VulnerableWebApp\WebAppDemo\XXE_elab.aspx.cs	105	_WebAppDemo.XXE_elab.Button3_Click$object.System.EventArgs$	0	3
C:\Corsi_informatica\Sicurezza_Informatica\Secure Coding\VulnerableWebApp\WebAppDemo\XXE_elab.aspx.cs	119	_WebAppDemo.XXE_elab.Button4_Click$object.System.EventArgs$	0	3
